"Level","ProvinceID","Province","MunicipalityID","Municipality","AgeGroup","Male","Female","Total","ScrapedOn"
"Municipality","1","Eastern Cape","4034","EC441 - Matatiele","80+","1430","3705","5135","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","18-19","2427","2410","4837","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","20-29","11797","12179","23976","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","30-39","13291","14275","27566","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","40-49","9764","11257","21021","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","50-59","5797","9113","14910","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","60-69","4685","7835","12520","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","70-79","2339","5005","7344","2026-09-22"
"Municipality","1","Eastern Cape","1031","EC442 - Umzimvubu","80+","1317","3738","5055","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","18-19","2752","3115","5867","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","20-29","16001","17779","33780","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","30-39","16423","20186","36609","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","40-49","11349","15489","26838","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","50-59","6602","12355","18957","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","60-69","5609","9734","15343","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","70-79","2709","5263","7972","2026-09-22"
"Municipality","1","Eastern Cape","1136","EC443 - Winnie Madikizela-Mandela","80+","2165","5288","7453","2026-09-22"
"Municipality","1","Eastern Cape","1137","EC444 - Ntabankulu","18-19","1772","1777","3549","2026-09-22"
"Municipality","1","Eastern Cape","1137","EC444 - Ntabankulu","20-29","9172","9303","18475","2026-09-22"
